,w1_pro,times,w1_drops_used,w2_drops_used
0,0,0,175,175
1,0,1,178,178
2,0,2,180,180
3,0,3,161,161
4,0,4,170,170
5,0,5,185,185
6,0,6,167,167
7,0,7,151,151
8,0,8,156,156
9,0,9,156,156
10,0,10,159,159
11,0,11,155,174
12,0,12,162,162
13,0,13,144,144
14,0,14,193,193
15,0,15,159,159
16,0,16,194,194
17,0,17,174,174
18,0,18,222,222
19,0,19,195,195
20,0,20,223,223
21,0,21,173,187
22,0,22,149,149
23,0,23,168,168
24,0,24,176,176
25,0,25,164,164
26,0,26,184,184
27,0,27,185,185
28,0,28,196,196
29,0,29,146,146
30,0,30,155,155
31,0,31,146,165
32,0,32,218,218
33,0,33,165,165
34,0,34,144,145
35,0,35,148,148
36,0,36,185,185
37,0,37,276,276
38,0,38,201,201
39,0,39,202,202
40,0,40,185,185
41,0,41,155,155
42,0,42,224,224
43,0,43,146,147
44,0,44,278,278
45,0,45,210,210
46,0,46,227,227
47,0,47,202,202
48,0,48,169,169
49,0,49,189,189
50,0,50,202,202
51,0,51,145,145
52,0,52,150,150
53,0,53,131,131
54,0,54,148,148
55,0,55,182,182
56,0,56,196,196
57,0,57,149,149
58,0,58,179,179
59,0,59,188,188
60,0,60,139,139
61,0,61,171,171
62,0,62,161,161
63,0,63,186,186
64,0,64,167,167
65,0,65,183,183
66,0,66,160,160
67,0,67,166,166
68,0,68,194,194
69,0,69,158,158
70,0,70,294,294
71,0,71,155,155
72,0,72,150,150
73,0,73,161,161
74,0,74,173,173
75,0,75,168,168
76,0,76,225,225
77,0,77,168,168
78,0,78,157,157
79,0,79,147,147
80,0,80,209,209
81,0,81,155,155
82,0,82,148,148
83,0,83,154,154
84,0,84,172,172
85,0,85,186,186
86,0,86,191,191
87,0,87,194,194
88,0,88,177,177
89,0,89,148,148
90,0,90,165,165
91,0,91,181,181
92,0,92,172,172
93,0,93,163,163
94,0,94,201,201
95,0,95,186,186
96,0,96,180,180
97,0,97,155,155
98,0,98,148,148
99,0,99,194,194
