,num_chunks,times,drop_num_used
0,900,0,943
1,900,1,959
2,900,2,951
3,900,3,964
4,900,4,982
5,900,5,959
6,900,6,956
7,900,7,940
8,900,8,961
9,900,9,947
10,900,10,953
11,900,11,951
12,900,12,961
13,900,13,954
14,900,14,949
15,900,15,952
16,900,16,967
17,900,17,951
18,900,18,961
19,900,19,951
20,900,20,955
21,900,21,951
22,900,22,961
23,900,23,948
24,900,24,958
25,900,25,963
26,900,26,957
27,900,27,962
28,900,28,951
29,900,29,953
30,900,30,947
31,900,31,961
32,900,32,944
33,900,33,969
34,900,34,951
35,900,35,951
36,900,36,951
37,900,37,961
38,900,38,952
39,900,39,961
40,900,40,961
41,900,41,959
42,900,42,965
43,900,43,958
44,900,44,959
45,900,45,953
46,900,46,964
47,900,47,957
48,900,48,943
49,900,49,952
50,900,50,952
51,900,51,943
52,900,52,951
53,900,53,951
54,900,54,960
55,900,55,951
56,900,56,957
57,900,57,958
58,900,58,959
59,900,59,954
60,900,60,958
61,900,61,957
62,900,62,954
63,900,63,947
64,900,64,961
65,900,65,961
66,900,66,961
67,900,67,951
68,900,68,951
69,900,69,949
70,900,70,951
71,900,71,958
72,900,72,949
73,900,73,956
74,900,74,956
75,900,75,971
76,900,76,957
77,900,77,953
78,900,78,953
79,900,79,971
80,900,80,961
81,900,81,960
82,900,82,963
83,900,83,944
84,900,84,940
85,900,85,949
86,900,86,938
87,900,87,955
88,900,88,944
89,900,89,957
90,900,90,962
91,900,91,951
92,900,92,951
93,900,93,970
94,900,94,952
95,900,95,949
96,900,96,955
97,900,97,941
98,900,98,952
99,900,99,942
