,num_chunks,times,drop_num_used
0,400,0,426
1,400,1,426
2,400,2,431
3,400,3,446
4,400,4,429
5,400,5,435
6,400,6,431
7,400,7,429
8,400,8,429
9,400,9,426
10,400,10,431
11,400,11,433
12,400,12,426
13,400,13,423
14,400,14,424
15,400,15,429
16,400,16,431
17,400,17,435
18,400,18,431
19,400,19,430
20,400,20,433
21,400,21,427
22,400,22,427
23,400,23,426
24,400,24,431
25,400,25,429
26,400,26,430
27,400,27,427
28,400,28,441
29,400,29,439
30,400,30,436
31,400,31,431
32,400,32,437
33,400,33,424
34,400,34,431
35,400,35,432
36,400,36,441
37,400,37,431
38,400,38,436
39,400,39,436
40,400,40,428
41,400,41,433
42,400,42,435
43,400,43,422
44,400,44,431
45,400,45,429
46,400,46,427
47,400,47,439
48,400,48,429
49,400,49,441
50,400,50,426
51,400,51,440
52,400,52,435
53,400,53,436
54,400,54,439
55,400,55,432
56,400,56,425
57,400,57,423
58,400,58,434
59,400,59,425
60,400,60,437
61,400,61,428
62,400,62,440
63,400,63,437
64,400,64,437
65,400,65,441
66,400,66,432
67,400,67,436
68,400,68,422
69,400,69,436
70,400,70,438
71,400,71,431
72,400,72,430
73,400,73,442
74,400,74,427
75,400,75,441
76,400,76,430
77,400,77,440
78,400,78,434
79,400,79,431
80,400,80,442
81,400,81,436
82,400,82,436
83,400,83,432
84,400,84,436
85,400,85,428
86,400,86,426
87,400,87,441
88,400,88,420
89,400,89,424
90,400,90,436
91,400,91,426
92,400,92,428
93,400,93,436
94,400,94,431
95,400,95,436
96,400,96,435
97,400,97,441
98,400,98,431
99,400,99,436
