,num_chunks,times,drop_num_used
0,150,0,202
1,150,1,190
2,150,2,194
3,150,3,204
4,150,4,210
5,150,5,216
6,150,6,244
7,150,7,195
8,150,8,204
9,150,9,202
10,150,10,191
11,150,11,195
12,150,12,188
13,150,13,197
14,150,14,216
15,150,15,216
16,150,16,200
17,150,17,202
18,150,18,214
19,150,19,199
20,150,20,207
21,150,21,214
22,150,22,230
23,150,23,198
24,150,24,217
25,150,25,206
26,150,26,185
27,150,27,238
28,150,28,249
29,150,29,200
30,150,30,196
31,150,31,197
32,150,32,229
33,150,33,218
34,150,34,201
35,150,35,223
36,150,36,220
37,150,37,210
38,150,38,187
39,150,39,221
40,150,40,199
41,150,41,202
42,150,42,205
43,150,43,227
44,150,44,193
45,150,45,271
46,150,46,267
47,150,47,206
48,150,48,194
49,150,49,198
50,150,50,199
51,150,51,212
52,150,52,255
53,150,53,203
54,150,54,189
55,150,55,248
56,150,56,202
57,150,57,228
58,150,58,215
59,150,59,232
60,150,60,197
61,150,61,211
62,150,62,224
63,150,63,200
64,150,64,264
65,150,65,229
66,150,66,244
67,150,67,213
68,150,68,237
69,150,69,195
70,150,70,216
71,150,71,227
72,150,72,212
73,150,73,222
74,150,74,204
75,150,75,226
76,150,76,200
77,150,77,202
78,150,78,211
79,150,79,286
80,150,80,203
81,150,81,202
82,150,82,256
83,150,83,209
84,150,84,253
85,150,85,207
86,150,86,187
87,150,87,201
88,150,88,235
89,150,89,178
90,150,90,197
91,150,91,186
92,150,92,201
93,150,93,206
94,150,94,211
95,150,95,190
96,150,96,206
97,150,97,243
98,150,98,217
99,150,99,193
