,num_chunks,times,drop_num_used
0,300,0,335
1,300,1,332
2,300,2,351
3,300,3,346
4,300,4,342
5,300,5,351
6,300,6,341
7,300,7,336
8,300,8,352
9,300,9,347
10,300,10,342
11,300,11,342
12,300,12,341
13,300,13,351
14,300,14,342
15,300,15,361
16,300,16,327
17,300,17,353
18,300,18,339
19,300,19,358
20,300,20,346
21,300,21,341
22,300,22,338
23,300,23,349
24,300,24,347
25,300,25,348
26,300,26,351
27,300,27,361
28,300,28,353
29,300,29,342
30,300,30,349
31,300,31,336
32,300,32,344
33,300,33,345
34,300,34,341
35,300,35,346
36,300,36,362
37,300,37,342
38,300,38,351
39,300,39,345
40,300,40,348
41,300,41,344
42,300,42,341
43,300,43,342
44,300,44,339
45,300,45,351
46,300,46,340
47,300,47,345
48,300,48,333
49,300,49,352
50,300,50,342
51,300,51,352
52,300,52,347
53,300,53,347
54,300,54,352
55,300,55,341
56,300,56,359
57,300,57,336
58,300,58,339
59,300,59,354
60,300,60,339
61,300,61,341
62,300,62,342
63,300,63,345
64,300,64,348
65,300,65,348
66,300,66,342
67,300,67,341
68,300,68,344
69,300,69,351
70,300,70,351
71,300,71,338
72,300,72,340
73,300,73,340
74,300,74,359
75,300,75,354
76,300,76,341
77,300,77,350
78,300,78,353
79,300,79,350
80,300,80,348
81,300,81,345
82,300,82,341
83,300,83,345
84,300,84,345
85,300,85,340
86,300,86,344
87,300,87,341
88,300,88,345
89,300,89,341
90,300,90,355
91,300,91,342
92,300,92,337
93,300,93,351
94,300,94,345
95,300,95,341
96,300,96,344
97,300,97,348
98,300,98,343
99,300,99,351
