,num_chunks,times,drop_num_used
0,800,0,875
1,800,1,873
2,800,2,881
3,800,3,904
4,800,4,887
5,800,5,894
6,800,6,884
7,800,7,869
8,800,8,873
9,800,9,854
10,800,10,873
11,800,11,895
12,800,12,889
13,800,13,872
14,800,14,891
15,800,15,867
16,800,16,875
17,800,17,873
18,800,18,878
19,800,19,884
20,800,20,876
21,800,21,872
22,800,22,873
23,800,23,886
24,800,24,880
25,800,25,871
26,800,26,878
27,800,27,858
28,800,28,877
29,800,29,875
30,800,30,876
31,800,31,865
32,800,32,875
33,800,33,879
34,800,34,883
35,800,35,885
36,800,36,886
37,800,37,871
38,800,38,881
39,800,39,887
40,800,40,881
41,800,41,880
42,800,42,883
43,800,43,869
44,800,44,877
45,800,45,865
46,800,46,881
47,800,47,881
48,800,48,890
49,800,49,893
50,800,50,872
51,800,51,878
52,800,52,871
53,800,53,875
54,800,54,871
55,800,55,883
56,800,56,882
57,800,57,884
58,800,58,883
59,800,59,897
60,800,60,882
61,800,61,891
62,800,62,888
63,800,63,874
64,800,64,891
65,800,65,879
66,800,66,882
67,800,67,881
68,800,68,878
69,800,69,872
70,800,70,887
71,800,71,870
72,800,72,884
73,800,73,876
74,800,74,885
75,800,75,871
76,800,76,888
77,800,77,869
78,800,78,864
79,800,79,881
80,800,80,886
81,800,81,876
82,800,82,882
83,800,83,880
84,800,84,872
85,800,85,878
86,800,86,884
87,800,87,871
88,800,88,872
89,800,89,882
90,800,90,890
91,800,91,871
92,800,92,862
93,800,93,884
94,800,94,887
95,800,95,893
96,800,96,871
97,800,97,894
98,800,98,873
99,800,99,874
