,num_chunks,times,drop_num_used
0,900,0,1002
1,900,1,997
2,900,2,1001
3,900,3,1009
4,900,4,995
5,900,5,1002
6,900,6,1010
7,900,7,1013
8,900,8,1006
9,900,9,1003
10,900,10,1002
11,900,11,1002
12,900,12,1003
13,900,13,1001
14,900,14,992
15,900,15,988
16,900,16,1000
17,900,17,996
18,900,18,1008
19,900,19,1026
20,900,20,1001
21,900,21,1008
22,900,22,998
23,900,23,991
24,900,24,989
25,900,25,1001
26,900,26,1012
27,900,27,987
28,900,28,983
29,900,29,996
30,900,30,981
31,900,31,1026
32,900,32,1016
33,900,33,997
34,900,34,1002
35,900,35,1004
36,900,36,1001
37,900,37,1001
38,900,38,1027
39,900,39,1009
40,900,40,984
41,900,41,1005
42,900,42,992
43,900,43,1025
44,900,44,1001
45,900,45,984
46,900,46,985
47,900,47,993
48,900,48,1010
49,900,49,1002
50,900,50,1017
51,900,51,987
52,900,52,986
53,900,53,1003
54,900,54,1001
55,900,55,986
56,900,56,1001
57,900,57,998
58,900,58,1003
59,900,59,1012
60,900,60,987
61,900,61,1001
62,900,62,999
63,900,63,1014
64,900,64,999
65,900,65,1001
66,900,66,1011
67,900,67,997
68,900,68,1021
69,900,69,982
70,900,70,1026
71,900,71,1002
72,900,72,1001
73,900,73,986
74,900,74,1003
75,900,75,998
76,900,76,1026
77,900,77,1010
78,900,78,996
79,900,79,990
80,900,80,998
81,900,81,1009
82,900,82,1010
83,900,83,988
84,900,84,1016
85,900,85,1008
86,900,86,997
87,900,87,1006
88,900,88,995
89,900,89,1001
90,900,90,1003
91,900,91,988
92,900,92,1026
93,900,93,1018
94,900,94,1005
95,900,95,1012
96,900,96,1001
97,900,97,982
98,900,98,1007
99,900,99,991
