,num_chunks,times,drop_num_used
0,400,0,446
1,400,1,447
2,400,2,452
3,400,3,452
4,400,4,445
5,400,5,451
6,400,6,452
7,400,7,442
8,400,8,450
9,400,9,450
10,400,10,441
11,400,11,466
12,400,12,441
13,400,13,442
14,400,14,458
15,400,15,450
16,400,16,442
17,400,17,439
18,400,18,460
19,400,19,437
20,400,20,448
21,400,21,446
22,400,22,451
23,400,23,444
24,400,24,446
25,400,25,447
26,400,26,448
27,400,27,441
28,400,28,443
29,400,29,443
30,400,30,446
31,400,31,444
32,400,32,447
33,400,33,442
34,400,34,449
35,400,35,447
36,400,36,442
37,400,37,436
38,400,38,442
39,400,39,446
40,400,40,449
41,400,41,453
42,400,42,457
43,400,43,449
44,400,44,446
45,400,45,442
46,400,46,442
47,400,47,449
48,400,48,461
49,400,49,449
50,400,50,439
51,400,51,455
52,400,52,453
53,400,53,436
54,400,54,441
55,400,55,456
56,400,56,436
57,400,57,444
58,400,58,456
59,400,59,440
60,400,60,444
61,400,61,442
62,400,62,451
63,400,63,443
64,400,64,450
65,400,65,455
66,400,66,443
67,400,67,434
68,400,68,459
69,400,69,439
70,400,70,454
71,400,71,447
72,400,72,456
73,400,73,459
74,400,74,446
75,400,75,452
76,400,76,449
77,400,77,461
78,400,78,443
79,400,79,448
80,400,80,442
81,400,81,459
82,400,82,450
83,400,83,455
84,400,84,446
85,400,85,458
86,400,86,450
87,400,87,450
88,400,88,441
89,400,89,437
90,400,90,452
91,400,91,455
92,400,92,453
93,400,93,460
94,400,94,456
95,400,95,440
96,400,96,447
97,400,97,458
98,400,98,439
99,400,99,450
