,num_chunks,times,drop_num_used
0,500,0,530
1,500,1,542
2,500,2,532
3,500,3,552
4,500,4,545
5,500,5,540
6,500,6,537
7,500,7,531
8,500,8,542
9,500,9,541
10,500,10,551
11,500,11,536
12,500,12,532
13,500,13,541
14,500,14,546
15,500,15,543
16,500,16,541
17,500,17,542
18,500,18,532
19,500,19,529
20,500,20,549
21,500,21,541
22,500,22,545
23,500,23,542
24,500,24,547
25,500,25,531
26,500,26,538
27,500,27,549
28,500,28,541
29,500,29,539
30,500,30,531
31,500,31,535
32,500,32,543
33,500,33,541
34,500,34,541
35,500,35,551
36,500,36,531
37,500,37,538
38,500,38,541
39,500,39,537
40,500,40,536
41,500,41,535
42,500,42,554
43,500,43,533
44,500,44,556
45,500,45,535
46,500,46,542
47,500,47,535
48,500,48,539
49,500,49,543
50,500,50,531
51,500,51,542
52,500,52,542
53,500,53,531
54,500,54,537
55,500,55,554
56,500,56,532
57,500,57,533
58,500,58,541
59,500,59,537
60,500,60,549
61,500,61,547
62,500,62,545
63,500,63,536
64,500,64,534
65,500,65,535
66,500,66,551
67,500,67,536
68,500,68,547
69,500,69,543
70,500,70,536
71,500,71,540
72,500,72,544
73,500,73,541
74,500,74,549
75,500,75,545
76,500,76,542
77,500,77,539
78,500,78,548
79,500,79,534
80,500,80,548
81,500,81,548
82,500,82,546
83,500,83,546
84,500,84,542
85,500,85,546
86,500,86,541
87,500,87,548
88,500,88,548
89,500,89,542
90,500,90,551
91,500,91,549
92,500,92,541
93,500,93,543
94,500,94,538
95,500,95,535
96,500,96,539
97,500,97,538
98,500,98,533
99,500,99,553
