,num_chunks,times,drop_num_used
0,600,0,649
1,600,1,656
2,600,2,657
3,600,3,657
4,600,4,657
5,600,5,653
6,600,6,674
7,600,7,661
8,600,8,671
9,600,9,650
10,600,10,656
11,600,11,655
12,600,12,661
13,600,13,660
14,600,14,664
15,600,15,662
16,600,16,656
17,600,17,657
18,600,18,681
19,600,19,655
20,600,20,677
21,600,21,660
22,600,22,664
23,600,23,661
24,600,24,661
25,600,25,666
26,600,26,651
27,600,27,656
28,600,28,656
29,600,29,656
30,600,30,656
31,600,31,681
32,600,32,660
33,600,33,668
34,600,34,681
35,600,35,662
36,600,36,656
37,600,37,656
38,600,38,649
39,600,39,674
40,600,40,651
41,600,41,670
42,600,42,661
43,600,43,660
44,600,44,657
45,600,45,659
46,600,46,645
47,600,47,669
48,600,48,669
49,600,49,681
50,600,50,658
51,600,51,674
52,600,52,647
53,600,53,656
54,600,54,657
55,600,55,679
56,600,56,670
57,600,57,662
58,600,58,668
59,600,59,656
60,600,60,661
61,600,61,658
62,600,62,664
63,600,63,654
64,600,64,658
65,600,65,650
66,600,66,647
67,600,67,673
68,600,68,667
69,600,69,651
70,600,70,654
71,600,71,658
72,600,72,665
73,600,73,643
74,600,74,674
75,600,75,653
76,600,76,661
77,600,77,656
78,600,78,665
79,600,79,669
80,600,80,681
81,600,81,663
82,600,82,660
83,600,83,640
84,600,84,664
85,600,85,665
86,600,86,656
87,600,87,661
88,600,88,650
89,600,89,658
90,600,90,656
91,600,91,656
92,600,92,682
93,600,93,667
94,600,94,661
95,600,95,681
96,600,96,661
97,600,97,677
98,600,98,664
99,600,99,664
