,num_chunks,times,drop_num_used
0,300,0,321
1,300,1,334
2,300,2,328
3,300,3,322
4,300,4,318
5,300,5,327
6,300,6,325
7,300,7,321
8,300,8,324
9,300,9,331
10,300,10,332
11,300,11,322
12,300,12,322
13,300,13,321
14,300,14,329
15,300,15,328
16,300,16,326
17,300,17,331
18,300,18,328
19,300,19,326
20,300,20,320
21,300,21,324
22,300,22,326
23,300,23,332
24,300,24,337
25,300,25,330
26,300,26,334
27,300,27,330
28,300,28,344
29,300,29,323
30,300,30,326
31,300,31,330
32,300,32,319
33,300,33,320
34,300,34,332
35,300,35,330
36,300,36,319
37,300,37,325
38,300,38,326
39,300,39,321
40,300,40,326
41,300,41,324
42,300,42,321
43,300,43,329
44,300,44,331
45,300,45,327
46,300,46,330
47,300,47,322
48,300,48,325
49,300,49,331
50,300,50,323
51,300,51,322
52,300,52,333
53,300,53,322
54,300,54,335
55,300,55,330
56,300,56,320
57,300,57,333
58,300,58,327
59,300,59,331
60,300,60,326
61,300,61,323
62,300,62,322
63,300,63,333
64,300,64,321
65,300,65,323
66,300,66,334
67,300,67,329
68,300,68,327
69,300,69,321
70,300,70,325
71,300,71,321
72,300,72,324
73,300,73,321
74,300,74,326
75,300,75,335
76,300,76,336
77,300,77,326
78,300,78,323
79,300,79,327
80,300,80,325
81,300,81,322
82,300,82,320
83,300,83,328
84,300,84,331
85,300,85,332
86,300,86,327
87,300,87,322
88,300,88,321
89,300,89,329
90,300,90,326
91,300,91,330
92,300,92,330
93,300,93,318
94,300,94,328
95,300,95,331
96,300,96,327
97,300,97,313
98,300,98,323
99,300,99,323
