,num_chunks,times,drop_num_used
0,750,0,837
1,750,1,818
2,750,2,826
3,750,3,835
4,750,4,824
5,750,5,802
6,750,6,817
7,750,7,808
8,750,8,814
9,750,9,810
10,750,10,824
11,750,11,846
12,750,12,811
13,750,13,822
14,750,14,813
15,750,15,824
16,750,16,815
17,750,17,837
18,750,18,809
19,750,19,817
20,750,20,825
21,750,21,826
22,750,22,816
23,750,23,827
24,750,24,839
25,750,25,824
26,750,26,831
27,750,27,818
28,750,28,817
29,750,29,826
30,750,30,807
31,750,31,814
32,750,32,816
33,750,33,841
34,750,34,831
35,750,35,831
36,750,36,813
37,750,37,817
38,750,38,828
39,750,39,828
40,750,40,822
41,750,41,825
42,750,42,819
43,750,43,822
44,750,44,815
45,750,45,815
46,750,46,813
47,750,47,836
48,750,48,842
49,750,49,822
50,750,50,831
51,750,51,828
52,750,52,826
53,750,53,812
54,750,54,827
55,750,55,810
56,750,56,842
57,750,57,822
58,750,58,830
59,750,59,825
60,750,60,819
61,750,61,815
62,750,62,816
63,750,63,820
64,750,64,831
65,750,65,815
66,750,66,834
67,750,67,815
68,750,68,821
69,750,69,808
70,750,70,827
71,750,71,821
72,750,72,809
73,750,73,832
74,750,74,830
75,750,75,816
76,750,76,818
77,750,77,817
78,750,78,823
79,750,79,835
80,750,80,825
81,750,81,827
82,750,82,837
83,750,83,827
84,750,84,826
85,750,85,820
86,750,86,809
87,750,87,833
88,750,88,820
89,750,89,823
90,750,90,828
91,750,91,825
92,750,92,821
93,750,93,821
94,750,94,828
95,750,95,833
96,750,96,813
97,750,97,811
98,750,98,824
99,750,99,845
