,num_chunks,times,drop_num_used
0,950,0,992
1,950,1,994
2,950,2,1006
3,950,3,1001
4,950,4,1001
5,950,5,993
6,950,6,991
7,950,7,1001
8,950,8,994
9,950,9,986
10,950,10,994
11,950,11,991
12,950,12,993
13,950,13,995
14,950,14,991
15,950,15,1001
16,950,16,991
17,950,17,991
18,950,18,992
19,950,19,1001
20,950,20,996
21,950,21,1004
22,950,22,1005
23,950,23,1006
24,950,24,992
25,950,25,987
26,950,26,984
27,950,27,1003
28,950,28,1001
29,950,29,988
30,950,30,1003
31,950,31,993
32,950,32,992
33,950,33,1001
34,950,34,982
35,950,35,1002
36,950,36,986
37,950,37,992
38,950,38,994
39,950,39,988
40,950,40,993
41,950,41,994
42,950,42,991
43,950,43,991
44,950,44,991
45,950,45,994
46,950,46,988
47,950,47,991
48,950,48,1001
49,950,49,996
50,950,50,998
51,950,51,992
52,950,52,994
53,950,53,1003
54,950,54,993
55,950,55,1001
56,950,56,1000
57,950,57,1001
58,950,58,994
59,950,59,991
60,950,60,990
61,950,61,991
62,950,62,1003
63,950,63,1001
64,950,64,989
65,950,65,993
66,950,66,1001
67,950,67,993
68,950,68,1002
69,950,69,995
70,950,70,1001
71,950,71,991
72,950,72,1001
73,950,73,991
74,950,74,982
75,950,75,1000
76,950,76,1017
77,950,77,1001
78,950,78,998
79,950,79,993
80,950,80,1001
81,950,81,998
82,950,82,998
83,950,83,1001
84,950,84,997
85,950,85,1009
86,950,86,992
87,950,87,999
88,950,88,993
89,950,89,995
90,950,90,997
91,950,91,996
92,950,92,989
93,950,93,991
94,950,94,1001
95,950,95,997
96,950,96,1000
97,950,97,996
98,950,98,995
99,950,99,989
