,num_chunks,times,drop_num_used
0,800,0,822
1,800,1,826
2,800,2,827
3,800,3,831
4,800,4,832
5,800,5,834
6,800,6,823
7,800,7,833
8,800,8,827
9,800,9,830
10,800,10,821
11,800,11,824
12,800,12,834
13,800,13,833
14,800,14,832
15,800,15,824
16,800,16,831
17,800,17,836
18,800,18,827
19,800,19,831
20,800,20,826
21,800,21,826
22,800,22,827
23,800,23,831
24,800,24,821
25,800,25,821
26,800,26,831
27,800,27,831
28,800,28,830
29,800,29,835
30,800,30,837
31,800,31,833
32,800,32,834
33,800,33,826
34,800,34,829
35,800,35,828
36,800,36,826
37,800,37,828
38,800,38,831
39,800,39,826
40,800,40,823
41,800,41,825
42,800,42,831
43,800,43,828
44,800,44,826
45,800,45,822
46,800,46,831
47,800,47,826
48,800,48,835
49,800,49,826
50,800,50,833
51,800,51,827
52,800,52,829
53,800,53,826
54,800,54,826
55,800,55,826
56,800,56,830
57,800,57,836
58,800,58,836
59,800,59,833
60,800,60,831
61,800,61,826
62,800,62,824
63,800,63,832
64,800,64,826
65,800,65,823
66,800,66,824
67,800,67,836
68,800,68,831
69,800,69,826
70,800,70,835
71,800,71,826
72,800,72,818
73,800,73,825
74,800,74,836
75,800,75,826
76,800,76,831
77,800,77,829
78,800,78,824
79,800,79,836
80,800,80,823
81,800,81,826
82,800,82,836
83,800,83,825
84,800,84,830
85,800,85,826
86,800,86,827
87,800,87,821
88,800,88,827
89,800,89,830
90,800,90,826
91,800,91,833
92,800,92,826
93,800,93,827
94,800,94,828
95,800,95,824
96,800,96,830
97,800,97,841
98,800,98,827
99,800,99,821
