,num_chunks,times,drop_num_used
0,950,0,1010
1,950,1,1021
2,950,2,1019
3,950,3,1011
4,950,4,1025
5,950,5,1011
6,950,6,1012
7,950,7,1018
8,950,8,1012
9,950,9,1016
10,950,10,1021
11,950,11,1009
12,950,12,1016
13,950,13,1012
14,950,14,1026
15,950,15,1011
16,950,16,1026
17,950,17,1016
18,950,18,1026
19,950,19,1012
20,950,20,1011
21,950,21,1021
22,950,22,1005
23,950,23,1011
24,950,24,1010
25,950,25,1016
26,950,26,1021
27,950,27,1016
28,950,28,1011
29,950,29,1021
30,950,30,1011
31,950,31,1026
32,950,32,1016
33,950,33,1017
34,950,34,1019
35,950,35,1014
36,950,36,1028
37,950,37,1021
38,950,38,1021
39,950,39,1021
40,950,40,1012
41,950,41,1021
42,950,42,1010
43,950,43,1015
44,950,44,1014
45,950,45,1016
46,950,46,1011
47,950,47,1010
48,950,48,1022
49,950,49,1017
50,950,50,1008
51,950,51,1024
52,950,52,1021
53,950,53,1001
54,950,54,1011
55,950,55,1011
56,950,56,1016
57,950,57,1021
58,950,58,1015
59,950,59,1005
60,950,60,1016
61,950,61,1016
62,950,62,1013
63,950,63,995
64,950,64,1008
65,950,65,1011
66,950,66,1010
67,950,67,1006
68,950,68,1016
69,950,69,996
70,950,70,1006
71,950,71,1011
72,950,72,1011
73,950,73,1007
74,950,74,1015
75,950,75,1002
76,950,76,1021
77,950,77,1011
78,950,78,1001
79,950,79,1004
80,950,80,1025
81,950,81,1012
82,950,82,1006
83,950,83,1020
84,950,84,1026
85,950,85,1026
86,950,86,1011
87,950,87,1005
88,950,88,1013
89,950,89,1022
90,950,90,1015
91,950,91,1011
92,950,92,1020
93,950,93,1015
94,950,94,1016
95,950,95,1013
96,950,96,1007
97,950,97,1011
98,950,98,1016
99,950,99,1019
