,num_chunks,times,drop_num_used
0,950,0,1003
1,950,1,1010
2,950,2,1018
3,950,3,1001
4,950,4,1027
5,950,5,1023
6,950,6,1004
7,950,7,1020
8,950,8,1007
9,950,9,1006
10,950,10,1019
11,950,11,1005
12,950,12,1026
13,950,13,1021
14,950,14,1011
15,950,15,1016
16,950,16,1012
17,950,17,996
18,950,18,1012
19,950,19,1031
20,950,20,1021
21,950,21,1021
22,950,22,995
23,950,23,1006
24,950,24,991
25,950,25,1002
26,950,26,1011
27,950,27,1021
28,950,28,1016
29,950,29,1001
30,950,30,1014
31,950,31,1021
32,950,32,1021
33,950,33,1019
34,950,34,1027
35,950,35,1011
36,950,36,1006
37,950,37,1021
38,950,38,1021
39,950,39,1023
40,950,40,1014
41,950,41,1008
42,950,42,1006
43,950,43,994
44,950,44,1006
45,950,45,1006
46,950,46,1001
47,950,47,1016
48,950,48,1011
49,950,49,1009
50,950,50,1010
51,950,51,1013
52,950,52,1006
53,950,53,1013
54,950,54,1016
55,950,55,1006
56,950,56,1002
57,950,57,1016
58,950,58,996
59,950,59,998
60,950,60,1007
61,950,61,1011
62,950,62,997
63,950,63,1024
64,950,64,1016
65,950,65,1016
66,950,66,1011
67,950,67,1007
68,950,68,1020
69,950,69,1017
70,950,70,1001
71,950,71,1006
72,950,72,1001
73,950,73,1008
74,950,74,1019
75,950,75,1021
76,950,76,1016
77,950,77,991
78,950,78,996
79,950,79,1016
80,950,80,1009
81,950,81,1016
82,950,82,1018
83,950,83,994
84,950,84,1005
85,950,85,1008
86,950,86,996
87,950,87,1008
88,950,88,1019
89,950,89,1008
90,950,90,1024
91,950,91,1014
92,950,92,1010
93,950,93,1021
94,950,94,1006
95,950,95,1009
96,950,96,1011
97,950,97,1012
98,950,98,1011
99,950,99,1008
