,num_chunks,times,drop_num_used
0,450,0,475
1,450,1,481
2,450,2,481
3,450,3,475
4,450,4,491
5,450,5,481
6,450,6,490
7,450,7,481
8,450,8,491
9,450,9,481
10,450,10,484
11,450,11,493
12,450,12,485
13,450,13,478
14,450,14,506
15,450,15,487
16,450,16,485
17,450,17,478
18,450,18,493
19,450,19,483
20,450,20,481
21,450,21,481
22,450,22,486
23,450,23,481
24,450,24,482
25,450,25,483
26,450,26,484
27,450,27,491
28,450,28,491
29,450,29,486
30,450,30,484
31,450,31,493
32,450,32,491
33,450,33,491
34,450,34,484
35,450,35,485
36,450,36,490
37,450,37,489
38,450,38,476
39,450,39,483
40,450,40,483
41,450,41,477
42,450,42,489
43,450,43,491
44,450,44,484
45,450,45,491
46,450,46,489
47,450,47,491
48,450,48,491
49,450,49,483
50,450,50,481
51,450,51,482
52,450,52,481
53,450,53,476
54,450,54,478
55,450,55,486
56,450,56,481
57,450,57,492
58,450,58,488
59,450,59,491
60,450,60,491
61,450,61,487
62,450,62,479
63,450,63,484
64,450,64,485
65,450,65,483
66,450,66,482
67,450,67,482
68,450,68,486
69,450,69,477
70,450,70,481
71,450,71,483
72,450,72,492
73,450,73,481
74,450,74,493
75,450,75,485
76,450,76,488
77,450,77,484
78,450,78,481
79,450,79,481
80,450,80,486
81,450,81,491
82,450,82,487
83,450,83,485
84,450,84,501
85,450,85,481
86,450,86,486
87,450,87,492
88,450,88,484
89,450,89,491
90,450,90,494
91,450,91,481
92,450,92,482
93,450,93,488
94,450,94,483
95,450,95,486
96,450,96,481
97,450,97,488
98,450,98,479
99,450,99,491
