,num_chunks,times,drop_num_used
0,300,0,333
1,300,1,346
2,300,2,344
3,300,3,341
4,300,4,361
5,300,5,363
6,300,6,348
7,300,7,354
8,300,8,361
9,300,9,342
10,300,10,345
11,300,11,361
12,300,12,336
13,300,13,341
14,300,14,347
15,300,15,345
16,300,16,341
17,300,17,339
18,300,18,336
19,300,19,345
20,300,20,343
21,300,21,346
22,300,22,341
23,300,23,344
24,300,24,341
25,300,25,355
26,300,26,343
27,300,27,340
28,300,28,347
29,300,29,344
30,300,30,341
31,300,31,342
32,300,32,338
33,300,33,341
34,300,34,345
35,300,35,329
36,300,36,343
37,300,37,340
38,300,38,346
39,300,39,361
40,300,40,341
41,300,41,341
42,300,42,329
43,300,43,340
44,300,44,349
45,300,45,350
46,300,46,341
47,300,47,345
48,300,48,341
49,300,49,344
50,300,50,346
51,300,51,361
52,300,52,357
53,300,53,343
54,300,54,358
55,300,55,361
56,300,56,345
57,300,57,341
58,300,58,341
59,300,59,363
60,300,60,341
61,300,61,327
62,300,62,325
63,300,63,342
64,300,64,361
65,300,65,361
66,300,66,348
67,300,67,351
68,300,68,341
69,300,69,347
70,300,70,348
71,300,71,340
72,300,72,342
73,300,73,341
74,300,74,343
75,300,75,352
76,300,76,345
77,300,77,341
78,300,78,361
79,300,79,345
80,300,80,348
81,300,81,343
82,300,82,345
83,300,83,341
84,300,84,335
85,300,85,341
86,300,86,341
87,300,87,329
88,300,88,347
89,300,89,344
90,300,90,327
91,300,91,348
92,300,92,341
93,300,93,341
94,300,94,356
95,300,95,344
96,300,96,347
97,300,97,344
98,300,98,341
99,300,99,351
