,num_chunks,times,drop_num_used
0,700,0,729
1,700,1,734
2,700,2,736
3,700,3,716
4,700,4,731
5,700,5,728
6,700,6,736
7,700,7,732
8,700,8,731
9,700,9,722
10,700,10,732
11,700,11,726
12,700,12,731
13,700,13,731
14,700,14,726
15,700,15,726
16,700,16,741
17,700,17,726
18,700,18,726
19,700,19,721
20,700,20,724
21,700,21,732
22,700,22,732
23,700,23,732
24,700,24,746
25,700,25,731
26,700,26,725
27,700,27,729
28,700,28,736
29,700,29,735
30,700,30,741
31,700,31,731
32,700,32,727
33,700,33,735
34,700,34,730
35,700,35,722
36,700,36,724
37,700,37,729
38,700,38,733
39,700,39,736
40,700,40,737
41,700,41,722
42,700,42,740
43,700,43,726
44,700,44,733
45,700,45,736
46,700,46,732
47,700,47,736
48,700,48,731
49,700,49,722
50,700,50,732
51,700,51,741
52,700,52,730
53,700,53,726
54,700,54,720
55,700,55,746
56,700,56,729
57,700,57,719
58,700,58,725
59,700,59,726
60,700,60,725
61,700,61,729
62,700,62,727
63,700,63,736
64,700,64,726
65,700,65,731
66,700,66,736
67,700,67,732
68,700,68,728
69,700,69,735
70,700,70,732
71,700,71,728
72,700,72,731
73,700,73,724
74,700,74,727
75,700,75,726
76,700,76,732
77,700,77,730
78,700,78,728
79,700,79,726
80,700,80,741
81,700,81,731
82,700,82,729
83,700,83,731
84,700,84,735
85,700,85,729
86,700,86,739
87,700,87,733
88,700,88,726
89,700,89,728
90,700,90,736
91,700,91,729
92,700,92,729
93,700,93,732
94,700,94,730
95,700,95,728
96,700,96,725
97,700,97,735
98,700,98,726
99,700,99,736
