,num_chunks,times,drop_num_used
0,900,0,931
1,900,1,931
2,900,2,928
3,900,3,930
4,900,4,925
5,900,5,938
6,900,6,940
7,900,7,926
8,900,8,941
9,900,9,941
10,900,10,926
11,900,11,941
12,900,12,931
13,900,13,929
14,900,14,927
15,900,15,931
16,900,16,933
17,900,17,935
18,900,18,934
19,900,19,926
20,900,20,924
21,900,21,935
22,900,22,930
23,900,23,924
24,900,24,927
25,900,25,933
26,900,26,941
27,900,27,940
28,900,28,937
29,900,29,931
30,900,30,925
31,900,31,931
32,900,32,926
33,900,33,929
34,900,34,921
35,900,35,935
36,900,36,931
37,900,37,929
38,900,38,927
39,900,39,926
40,900,40,931
41,900,41,931
42,900,42,932
43,900,43,931
44,900,44,929
45,900,45,927
46,900,46,936
47,900,47,921
48,900,48,926
49,900,49,938
50,900,50,933
51,900,51,921
52,900,52,936
53,900,53,931
54,900,54,931
55,900,55,926
56,900,56,925
57,900,57,946
58,900,58,936
59,900,59,930
60,900,60,927
61,900,61,934
62,900,62,931
63,900,63,926
64,900,64,933
65,900,65,926
66,900,66,926
67,900,67,922
68,900,68,922
69,900,69,926
70,900,70,931
71,900,71,932
72,900,72,931
73,900,73,931
74,900,74,934
75,900,75,914
76,900,76,927
77,900,77,931
78,900,78,936
79,900,79,931
80,900,80,933
81,900,81,936
82,900,82,931
83,900,83,926
84,900,84,931
85,900,85,931
86,900,86,927
87,900,87,936
88,900,88,936
89,900,89,931
90,900,90,926
91,900,91,936
92,900,92,941
93,900,93,923
94,900,94,930
95,900,95,936
96,900,96,937
97,900,97,922
98,900,98,928
99,900,99,928
