,num_chunks,times,drop_num_used
0,750,0,851
1,750,1,818
2,750,2,829
3,750,3,837
4,750,4,843
5,750,5,833
6,750,6,851
7,750,7,830
8,750,8,831
9,750,9,852
10,750,10,827
11,750,11,828
12,750,12,817
13,750,13,827
14,750,14,828
15,750,15,827
16,750,16,836
17,750,17,832
18,750,18,834
19,750,19,827
20,750,20,828
21,750,21,820
22,750,22,827
23,750,23,831
24,750,24,826
25,750,25,828
26,750,26,825
27,750,27,812
28,750,28,831
29,750,29,834
30,750,30,829
31,750,31,851
32,750,32,833
33,750,33,840
34,750,34,833
35,750,35,830
36,750,36,846
37,750,37,831
38,750,38,828
39,750,39,836
40,750,40,829
41,750,41,826
42,750,42,828
43,750,43,826
44,750,44,827
45,750,45,828
46,750,46,836
47,750,47,851
48,750,48,827
49,750,49,827
50,750,50,833
51,750,51,827
52,750,52,833
53,750,53,833
54,750,54,828
55,750,55,833
56,750,56,830
57,750,57,837
58,750,58,811
59,750,59,835
60,750,60,851
61,750,61,829
62,750,62,834
63,750,63,829
64,750,64,826
65,750,65,831
66,750,66,828
67,750,67,838
68,750,68,844
69,750,69,845
70,750,70,828
71,750,71,829
72,750,72,833
73,750,73,826
74,750,74,851
75,750,75,827
76,750,76,826
77,750,77,851
78,750,78,839
79,750,79,826
80,750,80,830
81,750,81,851
82,750,82,816
83,750,83,851
84,750,84,834
85,750,85,826
86,750,86,827
87,750,87,822
88,750,88,811
89,750,89,852
90,750,90,851
91,750,91,827
92,750,92,842
93,750,93,812
94,750,94,826
95,750,95,827
96,750,96,828
97,750,97,826
98,750,98,851
99,750,99,828
