,num_chunks,times,drop_num_used
0,700,0,1871
1,700,1,2547
2,700,2,3652
3,700,3,3377
4,700,4,2597
5,700,5,918
6,700,6,2054
7,700,7,1135
8,700,8,3564
9,700,9,2936
10,700,10,1722
11,700,11,1534
12,700,12,3134
13,700,13,1825
14,700,14,2717
15,700,15,1397
16,700,16,2171
17,700,17,1185
18,700,18,1499
19,700,19,1042
20,700,20,1756
21,700,21,1257
22,700,22,1614
23,700,23,2638
24,700,24,1464
25,700,25,1560
26,700,26,1639
27,700,27,1183
28,700,28,1468
29,700,29,1114
30,700,30,3534
31,700,31,1818
32,700,32,3387
33,700,33,2415
34,700,34,1867
35,700,35,1920
36,700,36,3420
37,700,37,1214
38,700,38,1148
39,700,39,1615
40,700,40,1748
41,700,41,2913
42,700,42,1806
43,700,43,3038
44,700,44,1939
45,700,45,956
46,700,46,1018
47,700,47,943
48,700,48,1368
49,700,49,3779
50,700,50,2962
51,700,51,1217
52,700,52,2022
53,700,53,921
54,700,54,1613
55,700,55,1015
56,700,56,2381
57,700,57,1713
58,700,58,2222
59,700,59,2008
60,700,60,3447
61,700,61,1527
62,700,62,1408
63,700,63,1668
64,700,64,1489
65,700,65,1254
66,700,66,2680
67,700,67,1237
68,700,68,2261
69,700,69,1462
70,700,70,958
71,700,71,1798
72,700,72,1313
73,700,73,2379
74,700,74,1262
75,700,75,1478
76,700,76,1803
77,700,77,2681
78,700,78,914
79,700,79,1384
80,700,80,933
81,700,81,963
82,700,82,2444
83,700,83,1365
84,700,84,2108
85,700,85,1158
86,700,86,1921
87,700,87,1257
88,700,88,1341
89,700,89,1188
90,700,90,1673
91,700,91,953
92,700,92,851
93,700,93,1228
94,700,94,2086
95,700,95,2510
96,700,96,1760
97,700,97,1147
98,700,98,1310
99,700,99,1218
