,num_chunks,times,drop_num_used
0,700,0,848
1,700,1,812
2,700,2,807
3,700,3,831
4,700,4,859
5,700,5,774
6,700,6,796
7,700,7,815
8,700,8,800
9,700,9,816
10,700,10,822
11,700,11,841
12,700,12,805
13,700,13,798
14,700,14,807
15,700,15,787
16,700,16,803
17,700,17,816
18,700,18,855
19,700,19,850
20,700,20,833
21,700,21,834
22,700,22,885
23,700,23,833
24,700,24,814
25,700,25,821
26,700,26,805
27,700,27,817
28,700,28,782
29,700,29,905
30,700,30,900
31,700,31,884
32,700,32,830
33,700,33,844
34,700,34,878
35,700,35,793
36,700,36,824
37,700,37,946
38,700,38,801
39,700,39,780
40,700,40,833
41,700,41,821
42,700,42,839
43,700,43,822
44,700,44,840
45,700,45,823
46,700,46,810
47,700,47,836
48,700,48,820
49,700,49,811
50,700,50,833
51,700,51,816
52,700,52,929
53,700,53,958
54,700,54,848
55,700,55,790
56,700,56,869
57,700,57,787
58,700,58,838
59,700,59,848
60,700,60,804
61,700,61,785
62,700,62,829
63,700,63,813
64,700,64,809
65,700,65,875
66,700,66,768
67,700,67,785
68,700,68,947
69,700,69,834
70,700,70,776
71,700,71,838
72,700,72,855
73,700,73,798
74,700,74,787
75,700,75,813
76,700,76,909
77,700,77,879
78,700,78,806
79,700,79,860
80,700,80,810
81,700,81,818
82,700,82,830
83,700,83,835
84,700,84,789
85,700,85,841
86,700,86,814
87,700,87,852
88,700,88,842
89,700,89,885
90,700,90,816
91,700,91,828
92,700,92,803
93,700,93,806
94,700,94,796
95,700,95,866
96,700,96,813
97,700,97,824
98,700,98,878
99,700,99,808
