,num_chunks,times,drop_num_used
0,950,0,1055
1,950,1,1068
2,950,2,1158
3,950,3,1022
4,950,4,1085
5,950,5,1075
6,950,6,1061
7,950,7,1014
8,950,8,1029
9,950,9,1047
10,950,10,1026
11,950,11,1038
12,950,12,1054
13,950,13,1097
14,950,14,1048
15,950,15,1103
16,950,16,1061
17,950,17,1166
18,950,18,1066
19,950,19,1071
20,950,20,1035
21,950,21,1066
22,950,22,1053
23,950,23,1098
24,950,24,1044
25,950,25,1089
26,950,26,1043
27,950,27,1030
28,950,28,1047
29,950,29,1035
30,950,30,1179
31,950,31,1061
32,950,32,1053
33,950,33,1074
34,950,34,1044
35,950,35,1093
36,950,36,1078
37,950,37,1142
38,950,38,1073
39,950,39,1102
40,950,40,1065
41,950,41,1162
42,950,42,1026
43,950,43,1052
44,950,44,1066
45,950,45,1025
46,950,46,1064
47,950,47,1071
48,950,48,1034
49,950,49,1084
50,950,50,1064
51,950,51,1077
52,950,52,1060
53,950,53,1180
54,950,54,1078
55,950,55,1035
56,950,56,1110
57,950,57,1182
58,950,58,1039
59,950,59,1051
60,950,60,1013
61,950,61,1003
62,950,62,1128
63,950,63,1064
64,950,64,1101
65,950,65,1171
66,950,66,1027
67,950,67,1048
68,950,68,1115
69,950,69,1031
70,950,70,1088
71,950,71,1098
72,950,72,1006
73,950,73,1042
74,950,74,1194
75,950,75,1069
76,950,76,1104
77,950,77,1097
78,950,78,1028
79,950,79,1045
80,950,80,1096
81,950,81,1014
82,950,82,1109
83,950,83,1051
84,950,84,1084
85,950,85,1093
86,950,86,1083
87,950,87,1055
88,950,88,1045
89,950,89,1088
90,950,90,1062
91,950,91,1034
92,950,92,1071
93,950,93,1043
94,950,94,1124
95,950,95,1106
96,950,96,1127
97,950,97,1040
98,950,98,1076
99,950,99,1048
