,num_chunks,times,send_drop_used,recv_drop_used
0,0.03,0,228,220
1,0.03,1,227,218
2,0.03,2,230,224
3,0.03,3,302,291
4,0.03,4,205,201
5,0.03,5,265,258
6,0.03,6,180,175
7,0.03,7,131,130
8,0.03,8,185,182
9,0.03,9,362,351
10,0.03,10,196,192
11,0.03,11,256,249
12,0.03,12,303,289
13,0.03,13,186,180
14,0.03,14,219,214
15,0.03,15,426,412
16,0.03,16,148,145
17,0.03,17,216,213
18,0.03,18,175,170
19,0.03,19,201,195
20,0.03,20,171,165
21,0.03,21,170,168
22,0.03,22,206,197
23,0.03,23,216,209
24,0.03,24,333,317
25,0.03,25,229,222
26,0.03,26,219,216
27,0.03,27,197,188
28,0.03,28,230,223
29,0.03,29,218,212
30,0.03,30,226,220
31,0.03,31,122,121
32,0.03,32,193,190
33,0.03,33,218,212
34,0.03,34,221,217
35,0.03,35,170,167
36,0.03,36,188,185
37,0.03,37,184,177
38,0.03,38,197,191
39,0.03,39,230,223
40,0.03,40,201,196
41,0.03,41,230,219
42,0.03,42,335,323
43,0.03,43,122,121
44,0.03,44,198,194
45,0.03,45,259,254
46,0.03,46,230,221
47,0.03,47,221,210
48,0.03,48,240,229
49,0.03,49,201,196
50,0.03,50,214,206
51,0.03,51,216,206
52,0.03,52,198,192
53,0.03,53,221,216
54,0.03,54,208,203
55,0.03,55,214,204
56,0.03,56,188,182
57,0.03,57,252,243
58,0.03,58,251,236
59,0.03,59,219,216
60,0.03,60,222,210
61,0.03,61,133,131
62,0.03,62,191,182
63,0.03,63,210,206
64,0.03,64,230,222
65,0.03,65,280,266
66,0.03,66,155,154
67,0.03,67,229,218
68,0.03,68,204,197
69,0.03,69,227,221
70,0.03,70,337,325
71,0.03,71,201,196
72,0.03,72,219,212
73,0.03,73,162,158
74,0.03,74,289,281
75,0.03,75,264,256
76,0.03,76,202,196
77,0.03,77,223,211
78,0.03,78,115,115
79,0.03,79,202,197
80,0.03,80,209,202
81,0.03,81,207,203
82,0.03,82,177,174
83,0.03,83,230,223
84,0.03,84,201,197
85,0.03,85,214,210
86,0.03,86,170,165
87,0.03,87,228,218
88,0.03,88,172,171
89,0.03,89,197,193
90,0.03,90,338,328
91,0.03,91,227,217
92,0.03,92,161,157
93,0.03,93,222,209
94,0.03,94,214,206
95,0.03,95,228,222
96,0.03,96,228,219
97,0.03,97,213,207
98,0.03,98,167,163
99,0.03,99,227,220
100,0.03,100,191,184
101,0.03,101,134,132
102,0.03,102,216,211
103,0.03,103,224,214
104,0.03,104,115,115
105,0.03,105,117,116
106,0.03,106,213,206
107,0.03,107,222,214
108,0.03,108,218,214
109,0.03,109,227,220
110,0.03,110,210,199
111,0.03,111,206,197
112,0.03,112,179,172
113,0.03,113,188,182
114,0.03,114,194,191
115,0.03,115,212,208
116,0.03,116,193,186
117,0.03,117,225,218
118,0.03,118,216,208
119,0.03,119,209,204
120,0.03,120,218,209
121,0.03,121,218,212
122,0.03,122,223,218
123,0.03,123,172,165
124,0.03,124,193,187
125,0.03,125,201,197
126,0.03,126,187,180
127,0.03,127,199,195
128,0.03,128,124,122
129,0.03,129,164,162
130,0.03,130,207,203
131,0.03,131,220,212
132,0.03,132,189,180
133,0.03,133,192,185
134,0.03,134,183,178
135,0.03,135,345,324
136,0.03,136,218,213
137,0.03,137,229,221
138,0.03,138,227,218
139,0.03,139,115,115
140,0.03,140,196,190
141,0.03,141,245,239
142,0.03,142,129,128
143,0.03,143,206,194
144,0.03,144,116,115
145,0.03,145,215,212
146,0.03,146,190,186
147,0.03,147,224,219
148,0.03,148,163,160
149,0.03,149,230,219
150,0.03,150,148,144
151,0.03,151,193,189
152,0.03,152,316,297
153,0.03,153,183,178
154,0.03,154,217,210
155,0.03,155,206,199
156,0.03,156,147,145
157,0.03,157,115,115
158,0.03,158,161,158
159,0.03,159,217,213
160,0.03,160,220,214
161,0.03,161,129,126
162,0.03,162,225,218
163,0.03,163,164,161
164,0.03,164,223,218
165,0.03,165,230,220
166,0.03,166,340,330
167,0.03,167,121,118
168,0.03,168,182,179
169,0.03,169,203,195
170,0.03,170,225,221
171,0.03,171,211,208
172,0.03,172,175,172
173,0.03,173,187,179
174,0.03,174,202,196
175,0.03,175,332,320
176,0.03,176,115,115
177,0.03,177,195,189
178,0.03,178,225,217
179,0.03,179,335,321
180,0.03,180,209,206
181,0.03,181,224,218
182,0.03,182,229,218
183,0.03,183,227,220
184,0.03,184,246,239
185,0.03,185,194,189
186,0.03,186,215,210
187,0.03,187,199,196
188,0.03,188,258,244
189,0.03,189,160,159
190,0.03,190,115,115
191,0.03,191,199,191
192,0.03,192,216,208
193,0.03,193,219,209
194,0.03,194,338,323
195,0.03,195,207,201
196,0.03,196,227,212
197,0.03,197,223,216
198,0.03,198,176,172
199,0.03,199,157,155
200,0.03,200,233,224
201,0.03,201,197,191
202,0.03,202,210,204
203,0.03,203,151,147
204,0.03,204,224,217
205,0.03,205,225,218
206,0.03,206,228,221
207,0.03,207,217,209
208,0.03,208,210,203
209,0.03,209,182,177
210,0.03,210,115,115
211,0.03,211,224,217
212,0.03,212,203,197
213,0.03,213,218,209
214,0.03,214,221,216
215,0.03,215,115,115
216,0.03,216,207,202
217,0.03,217,133,132
218,0.03,218,229,222
219,0.03,219,219,215
220,0.03,220,197,190
221,0.03,221,217,209
222,0.03,222,186,183
223,0.03,223,212,207
224,0.03,224,226,217
225,0.03,225,173,170
226,0.03,226,227,222
227,0.03,227,231,222
228,0.03,228,176,172
229,0.03,229,171,167
230,0.03,230,205,198
231,0.03,231,165,162
232,0.03,232,228,221
233,0.03,233,164,162
234,0.03,234,196,193
235,0.03,235,124,123
236,0.03,236,283,267
237,0.03,237,199,192
238,0.03,238,201,198
239,0.03,239,157,153
240,0.03,240,225,215
241,0.03,241,184,182
242,0.03,242,209,204
243,0.03,243,128,126
244,0.03,244,227,224
245,0.03,245,230,223
246,0.03,246,212,204
247,0.03,247,210,203
248,0.03,248,209,202
249,0.03,249,198,192
250,0.03,250,220,211
251,0.03,251,158,156
252,0.03,252,201,195
253,0.03,253,212,206
254,0.03,254,229,222
255,0.03,255,203,193
256,0.03,256,182,178
257,0.03,257,227,223
258,0.03,258,200,196
259,0.03,259,230,221
260,0.03,260,199,193
261,0.03,261,219,215
262,0.03,262,219,213
263,0.03,263,145,142
264,0.03,264,202,195
265,0.03,265,230,223
266,0.03,266,210,200
267,0.03,267,206,197
268,0.03,268,191,186
269,0.03,269,216,209
270,0.03,270,186,181
271,0.03,271,204,199
272,0.03,272,227,219
273,0.03,273,318,309
274,0.03,274,125,123
275,0.03,275,224,221
276,0.03,276,228,221
277,0.03,277,117,116
278,0.03,278,194,188
279,0.03,279,431,410
280,0.03,280,180,175
281,0.03,281,177,169
282,0.03,282,167,161
283,0.03,283,191,189
284,0.03,284,275,265
285,0.03,285,211,202
286,0.03,286,220,211
287,0.03,287,200,189
288,0.03,288,210,204
289,0.03,289,229,225
290,0.03,290,322,308
291,0.03,291,210,202
292,0.03,292,218,214
293,0.03,293,129,128
294,0.03,294,222,213
295,0.03,295,202,196
296,0.03,296,242,235
297,0.03,297,202,197
298,0.03,298,201,195
299,0.03,299,223,216
300,0.03,300,197,190
301,0.03,301,453,436
302,0.03,302,191,189
303,0.03,303,206,198
304,0.03,304,148,143
305,0.03,305,226,220
306,0.03,306,195,190
307,0.03,307,115,115
308,0.03,308,341,331
309,0.03,309,223,214
310,0.03,310,230,224
311,0.03,311,141,137
312,0.03,312,225,217
313,0.03,313,221,214
314,0.03,314,219,214
315,0.03,315,215,206
316,0.03,316,203,197
317,0.03,317,219,210
318,0.03,318,227,217
319,0.03,319,157,155
320,0.03,320,211,207
321,0.03,321,227,218
322,0.03,322,227,219
323,0.03,323,208,203
324,0.03,324,224,219
325,0.03,325,226,220
326,0.03,326,207,203
327,0.03,327,186,181
328,0.03,328,214,208
329,0.03,329,221,215
330,0.03,330,226,223
331,0.03,331,220,215
332,0.03,332,205,202
333,0.03,333,223,217
334,0.03,334,116,115
335,0.03,335,221,213
336,0.03,336,229,223
337,0.03,337,230,225
338,0.03,338,229,224
339,0.03,339,226,219
340,0.03,340,139,138
341,0.03,341,210,204
342,0.03,342,228,218
343,0.03,343,333,322
344,0.03,344,201,189
345,0.03,345,138,137
346,0.03,346,218,213
347,0.03,347,210,206
348,0.03,348,230,218
349,0.03,349,189,180
350,0.03,350,151,147
351,0.03,351,230,223
352,0.03,352,205,192
353,0.03,353,185,182
354,0.03,354,151,148
355,0.03,355,230,222
356,0.03,356,216,208
357,0.03,357,212,208
358,0.03,358,217,211
359,0.03,359,227,217
360,0.03,360,164,162
361,0.03,361,261,253
362,0.03,362,176,170
363,0.03,363,226,218
364,0.03,364,174,169
365,0.03,365,165,160
366,0.03,366,117,116
367,0.03,367,224,216
368,0.03,368,169,163
369,0.03,369,227,221
370,0.03,370,227,223
371,0.03,371,220,208
372,0.03,372,196,192
373,0.03,373,219,213
374,0.03,374,183,180
375,0.03,375,176,173
376,0.03,376,194,191
377,0.03,377,178,177
378,0.03,378,221,213
379,0.03,379,180,175
380,0.03,380,186,180
381,0.03,381,214,211
382,0.03,382,216,210
383,0.03,383,208,204
384,0.03,384,207,203
385,0.03,385,267,258
386,0.03,386,230,223
387,0.03,387,185,180
388,0.03,388,160,154
389,0.03,389,171,168
390,0.03,390,149,146
391,0.03,391,201,189
392,0.03,392,196,190
393,0.03,393,223,217
394,0.03,394,217,213
395,0.03,395,160,157
396,0.03,396,217,209
397,0.03,397,214,209
398,0.03,398,211,204
399,0.03,399,155,149
400,0.03,400,211,207
401,0.03,401,206,201
402,0.03,402,176,170
403,0.03,403,165,164
404,0.03,404,196,190
405,0.03,405,209,198
406,0.03,406,214,204
407,0.03,407,184,182
408,0.03,408,188,184
409,0.03,409,228,223
410,0.03,410,205,200
411,0.03,411,193,187
412,0.03,412,226,218
413,0.03,413,342,329
414,0.03,414,208,201
415,0.03,415,226,221
416,0.03,416,199,192
417,0.03,417,216,212
418,0.03,418,203,192
419,0.03,419,191,187
420,0.03,420,224,217
421,0.03,421,210,206
422,0.03,422,211,201
423,0.03,423,209,205
424,0.03,424,219,210
425,0.03,425,189,185
426,0.03,426,125,123
427,0.03,427,215,207
428,0.03,428,242,234
429,0.03,429,185,180
430,0.03,430,298,288
431,0.03,431,193,185
432,0.03,432,229,226
433,0.03,433,193,188
434,0.03,434,178,175
435,0.03,435,187,182
436,0.03,436,206,205
437,0.03,437,208,199
438,0.03,438,216,212
439,0.03,439,226,217
440,0.03,440,221,215
441,0.03,441,192,186
442,0.03,442,255,249
443,0.03,443,171,168
444,0.03,444,280,265
445,0.03,445,208,204
446,0.03,446,219,211
447,0.03,447,151,146
448,0.03,448,209,204
449,0.03,449,197,193
450,0.03,450,225,212
451,0.03,451,197,194
452,0.03,452,222,208
453,0.03,453,194,189
454,0.03,454,220,213
455,0.03,455,172,167
456,0.03,456,115,115
457,0.03,457,158,153
458,0.03,458,230,217
459,0.03,459,292,280
460,0.03,460,176,171
461,0.03,461,191,188
462,0.03,462,226,220
463,0.03,463,230,224
464,0.03,464,230,220
465,0.03,465,213,198
466,0.03,466,115,115
467,0.03,467,284,274
468,0.03,468,223,214
469,0.03,469,227,219
470,0.03,470,173,169
471,0.03,471,210,207
472,0.03,472,191,187
473,0.03,473,219,212
474,0.03,474,209,201
475,0.03,475,211,201
476,0.03,476,187,182
477,0.03,477,193,190
478,0.03,478,167,165
479,0.03,479,193,184
480,0.03,480,228,220
481,0.03,481,217,212
482,0.03,482,221,208
483,0.03,483,225,216
484,0.03,484,248,236
485,0.03,485,212,205
486,0.03,486,229,220
487,0.03,487,183,180
488,0.03,488,296,287
489,0.03,489,201,195
490,0.03,490,217,210
491,0.03,491,181,175
492,0.03,492,223,214
493,0.03,493,213,201
494,0.03,494,295,283
495,0.03,495,191,183
496,0.03,496,176,173
497,0.03,497,223,216
498,0.03,498,224,217
499,0.03,499,259,250
500,0.03,500,215,210
501,0.03,501,149,144
502,0.03,502,222,214
503,0.03,503,230,221
504,0.03,504,217,213
505,0.03,505,221,211
506,0.03,506,318,302
507,0.03,507,216,204
508,0.03,508,179,177
509,0.03,509,202,199
510,0.03,510,115,115
511,0.03,511,115,115
512,0.03,512,173,170
513,0.03,513,188,185
514,0.03,514,213,205
515,0.03,515,123,122
516,0.03,516,211,207
517,0.03,517,210,202
518,0.03,518,308,296
519,0.03,519,221,213
520,0.03,520,274,258
521,0.03,521,221,215
522,0.03,522,221,212
523,0.03,523,196,189
524,0.03,524,141,139
525,0.03,525,229,219
526,0.03,526,149,148
527,0.03,527,203,199
528,0.03,528,190,183
529,0.03,529,186,180
530,0.03,530,205,202
531,0.03,531,221,217
532,0.03,532,319,307
533,0.03,533,205,199
534,0.03,534,222,215
535,0.03,535,185,179
536,0.03,536,224,220
537,0.03,537,343,334
538,0.03,538,197,190
539,0.03,539,230,220
540,0.03,540,216,210
541,0.03,541,175,170
542,0.03,542,204,197
543,0.03,543,229,220
544,0.03,544,222,218
545,0.03,545,178,172
546,0.03,546,178,172
547,0.03,547,225,219
548,0.03,548,223,213
549,0.03,549,190,186
