,num_chunks,times,send_drop_used,recv_drop_used
0,300,0,751,721
1,300,1,805,773
2,300,2,577,555
3,300,3,585,562
4,300,4,798,769
5,300,5,560,538
6,300,6,553,531
7,300,7,597,573
8,300,8,860,825
9,300,9,787,756
10,300,10,597,573
11,300,11,593,569
12,300,12,899,863
13,300,13,587,565
14,300,14,587,564
15,300,15,587,563
16,300,16,595,571
17,300,17,764,732
18,300,18,585,561
19,300,19,572,550
20,300,20,595,571
21,300,21,579,558
22,300,22,796,763
23,300,23,593,569
24,300,24,699,671
25,300,25,572,552
26,300,26,577,554
27,300,27,593,570
28,300,28,599,575
29,300,29,588,564
30,300,30,598,574
31,300,31,613,588
32,300,32,573,551
33,300,33,569,546
34,300,34,1066,1021
35,300,35,580,556
36,300,36,679,654
37,300,37,594,571
38,300,38,599,575
39,300,39,552,529
40,300,40,754,727
41,300,41,597,573
42,300,42,852,816
43,300,43,880,846
44,300,44,563,540
45,300,45,897,861
46,300,46,588,564
47,300,47,532,508
48,300,48,567,543
49,300,49,598,574
50,300,50,568,547
51,300,51,568,544
52,300,52,886,851
53,300,53,761,732
54,300,54,532,513
55,300,55,600,576
56,300,56,544,522
57,300,57,594,570
58,300,58,592,568
59,300,59,630,605
60,300,60,830,798
61,300,61,698,671
62,300,62,517,495
63,300,63,797,764
64,300,64,827,793
65,300,65,572,549
66,300,66,600,576
67,300,67,591,567
68,300,68,578,554
69,300,69,553,533
70,300,70,836,804
71,300,71,858,823
72,300,72,804,775
73,300,73,632,607
74,300,74,551,529
75,300,75,616,592
76,300,76,597,573
77,300,77,597,573
78,300,78,884,848
79,300,79,692,665
80,300,80,862,828
81,300,81,629,605
82,300,82,817,782
83,300,83,896,861
84,300,84,565,542
85,300,85,801,769
86,300,86,983,943
87,300,87,592,568
88,300,88,872,838
89,300,89,792,760
90,300,90,597,573
91,300,91,569,546
92,300,92,661,635
93,300,93,591,568
94,300,94,573,549
95,300,95,582,559
96,300,96,586,562
97,300,97,595,571
98,300,98,532,510
99,300,99,558,538
100,300,100,589,565
101,300,101,571,548
102,300,102,706,676
103,300,103,573,549
104,300,104,561,539
105,300,105,572,549
106,300,106,1042,996
107,300,107,569,546
108,300,108,643,618
109,300,109,599,575
110,300,110,614,590
111,300,111,653,626
112,300,112,857,821
113,300,113,959,917
114,300,114,505,485
115,300,115,491,469
116,300,116,587,565
117,300,117,599,575
118,300,118,562,539
119,300,119,1054,1012
120,300,120,583,560
121,300,121,586,563
122,300,122,642,614
123,300,123,743,710
124,300,124,1031,988
125,300,125,573,550
126,300,126,781,747
127,300,127,553,529
128,300,128,687,658
129,300,129,568,547
130,300,130,591,567
131,300,131,581,557
132,300,132,599,575
133,300,133,590,567
134,300,134,765,733
135,300,135,830,795
136,300,136,599,575
137,300,137,570,547
138,300,138,595,571
139,300,139,546,523
140,300,140,550,528
141,300,141,1088,1043
142,300,142,809,778
143,300,143,583,559
144,300,144,756,727
145,300,145,565,543
146,300,146,622,598
147,300,147,573,550
148,300,148,587,565
149,300,149,579,555
150,300,150,738,708
151,300,151,784,754
152,300,152,594,572
153,300,153,599,575
154,300,154,590,566
155,300,155,563,540
156,300,156,557,534
157,300,157,757,729
158,300,158,809,777
159,300,159,830,798
160,300,160,752,724
161,300,161,588,564
162,300,162,773,744
163,300,163,844,809
164,300,164,564,542
165,300,165,647,620
166,300,166,879,843
167,300,167,780,748
168,300,168,580,557
169,300,169,619,595
170,300,170,549,527
171,300,171,509,489
172,300,172,559,535
173,300,173,590,566
174,300,174,838,803
175,300,175,806,776
176,300,176,890,855
177,300,177,596,572
178,300,178,588,565
179,300,179,567,543
180,300,180,569,549
181,300,181,584,562
182,300,182,573,550
183,300,183,584,560
184,300,184,596,572
185,300,185,578,556
186,300,186,565,543
187,300,187,891,855
188,300,188,534,514
189,300,189,585,562
190,300,190,709,680
191,300,191,564,540
192,300,192,804,774
193,300,193,799,770
194,300,194,584,560
195,300,195,593,570
196,300,196,581,557
197,300,197,590,566
198,300,198,589,565
199,300,199,587,565
200,300,200,829,795
201,300,201,549,526
202,300,202,557,535
203,300,203,847,814
204,300,204,587,564
205,300,205,768,738
206,300,206,784,752
207,300,207,856,822
208,300,208,568,544
209,300,209,875,843
210,300,210,963,923
211,300,211,674,645
212,300,212,823,791
213,300,213,575,552
214,300,214,771,740
215,300,215,788,758
216,300,216,707,679
217,300,217,592,569
218,300,218,567,547
219,300,219,819,785
220,300,220,549,530
221,300,221,727,701
222,300,222,600,576
223,300,223,556,533
224,300,224,599,575
225,300,225,867,833
226,300,226,600,576
227,300,227,814,780
228,300,228,853,819
229,300,229,579,555
230,300,230,793,764
231,300,231,664,636
232,300,232,583,559
233,300,233,763,735
234,300,234,887,852
235,300,235,650,625
236,300,236,855,821
237,300,237,853,820
238,300,238,571,547
239,300,239,551,531
240,300,240,599,575
241,300,241,572,549
242,300,242,786,755
243,300,243,583,559
244,300,244,564,540
245,300,245,596,572
246,300,246,826,792
247,300,247,587,563
248,300,248,849,817
249,300,249,598,574
250,300,250,545,523
251,300,251,582,558
252,300,252,574,553
253,300,253,571,547
254,300,254,595,571
255,300,255,871,835
256,300,256,1098,1053
257,300,257,520,497
258,300,258,793,765
259,300,259,787,755
260,300,260,781,750
261,300,261,587,563
262,300,262,701,675
263,300,263,588,564
264,300,264,599,575
265,300,265,594,570
266,300,266,562,538
267,300,267,713,686
268,300,268,586,562
269,300,269,587,563
270,300,270,577,556
271,300,271,587,564
272,300,272,819,787
273,300,273,591,567
274,300,274,881,846
275,300,275,572,553
276,300,276,542,520
277,300,277,585,561
278,300,278,616,592
279,300,279,572,548
280,300,280,701,673
281,300,281,575,551
282,300,282,592,568
283,300,283,853,819
284,300,284,488,470
285,300,285,596,573
286,300,286,831,796
287,300,287,611,586
288,300,288,588,564
289,300,289,560,536
290,300,290,593,569
291,300,291,600,576
292,300,292,600,576
293,300,293,554,532
294,300,294,776,745
295,300,295,854,820
296,300,296,758,729
297,300,297,580,557
298,300,298,580,556
299,300,299,567,545
300,300,300,571,547
301,300,301,827,795
302,300,302,567,544
303,300,303,595,571
304,300,304,580,556
305,300,305,789,756
306,300,306,888,853
307,300,307,858,824
308,300,308,783,752
309,300,309,596,573
310,300,310,761,732
311,300,311,563,543
312,300,312,574,551
313,300,313,835,802
314,300,314,764,735
315,300,315,599,575
316,300,316,730,700
317,300,317,579,555
318,300,318,567,545
319,300,319,796,766
320,300,320,857,823
321,300,321,593,570
322,300,322,558,535
323,300,323,565,543
324,300,324,885,851
325,300,325,698,670
326,300,326,591,567
327,300,327,548,527
328,300,328,701,672
329,300,329,600,576
330,300,330,833,800
331,300,331,872,838
332,300,332,598,574
333,300,333,550,528
334,300,334,853,820
335,300,335,594,570
336,300,336,616,591
337,300,337,551,530
338,300,338,575,551
339,300,339,699,673
340,300,340,713,683
341,300,341,591,567
342,300,342,599,575
343,300,343,582,558
344,300,344,530,508
345,300,345,589,566
346,300,346,586,562
347,300,347,600,576
348,300,348,769,738
349,300,349,1022,981
350,300,350,1143,1098
351,300,351,806,775
352,300,352,684,658
353,300,353,535,511
354,300,354,566,543
355,300,355,636,611
356,300,356,528,507
357,300,357,568,545
358,300,358,721,693
359,300,359,599,575
360,300,360,564,542
361,300,361,594,570
362,300,362,594,571
363,300,363,813,783
364,300,364,580,556
365,300,365,600,576
366,300,366,599,575
367,300,367,569,546
368,300,368,588,564
369,300,369,756,728
370,300,370,827,795
371,300,371,557,535
372,300,372,488,469
373,300,373,598,574
374,300,374,627,601
375,300,375,859,824
376,300,376,582,559
377,300,377,515,497
378,300,378,836,803
379,300,379,581,557
380,300,380,560,538
381,300,381,821,789
382,300,382,671,647
383,300,383,573,549
384,300,384,681,653
385,300,385,576,553
386,300,386,782,751
387,300,387,813,778
388,300,388,566,545
389,300,389,668,642
390,300,390,502,487
391,300,391,596,572
392,300,392,863,829
393,300,393,590,568
394,300,394,825,791
395,300,395,593,570
396,300,396,585,561
397,300,397,596,573
398,300,398,576,552
399,300,399,722,693
400,300,400,779,750
401,300,401,596,572
402,300,402,650,626
403,300,403,595,572
404,300,404,584,560
405,300,405,586,562
406,300,406,599,575
407,300,407,660,634
408,300,408,604,580
409,300,409,550,529
410,300,410,586,564
411,300,411,668,642
412,300,412,585,561
413,300,413,600,576
414,300,414,775,745
415,300,415,738,707
416,300,416,569,545
417,300,417,552,530
418,300,418,571,550
419,300,419,579,556
420,300,420,577,553
421,300,421,583,559
422,300,422,876,840
423,300,423,564,542
424,300,424,854,818
425,300,425,770,740
426,300,426,724,698
427,300,427,670,644
428,300,428,822,786
429,300,429,663,637
430,300,430,589,566
431,300,431,562,539
432,300,432,574,551
433,300,433,693,665
434,300,434,583,561
435,300,435,564,541
436,300,436,600,576
437,300,437,1008,968
438,300,438,600,576
439,300,439,860,825
440,300,440,597,573
441,300,441,539,518
442,300,442,598,574
443,300,443,512,491
444,300,444,597,573
445,300,445,792,760
446,300,446,682,657
447,300,447,526,505
448,300,448,692,666
449,300,449,805,773
450,300,450,677,652
451,300,451,898,862
452,300,452,586,563
453,300,453,578,555
454,300,454,683,656
455,300,455,586,562
456,300,456,882,847
457,300,457,684,658
458,300,458,589,565
459,300,459,579,557
460,300,460,599,575
461,300,461,896,860
462,300,462,596,572
463,300,463,848,813
464,300,464,728,700
465,300,465,678,650
466,300,466,669,643
467,300,467,590,566
468,300,468,597,573
469,300,469,568,547
470,300,470,570,547
471,300,471,839,805
472,300,472,806,777
473,300,473,786,758
474,300,474,588,564
475,300,475,615,590
476,300,476,727,697
477,300,477,654,627
478,300,478,590,566
479,300,479,670,644
480,300,480,555,532
481,300,481,599,575
482,300,482,654,628
483,300,483,682,652
484,300,484,828,793
485,300,485,655,629
486,300,486,587,563
487,300,487,552,531
488,300,488,577,554
489,300,489,620,595
490,300,490,556,536
491,300,491,581,558
492,300,492,571,550
493,300,493,597,573
494,300,494,594,572
495,300,495,566,542
496,300,496,831,798
497,300,497,593,569
498,300,498,556,535
499,300,499,872,838
500,300,500,606,581
501,300,501,592,568
502,300,502,575,551
503,300,503,519,500
504,300,504,590,568
505,300,505,730,700
506,300,506,593,569
507,300,507,817,785
508,300,508,599,575
509,300,509,546,522
510,300,510,596,572
