,num_chunks,times,send_drop_used,recv_drop_used
0,150,0,343,313
1,150,1,296,273
2,150,2,389,359
3,150,3,347,320
4,150,4,300,276
5,150,5,392,360
6,150,6,439,403
7,150,7,323,297
8,150,8,433,397
9,150,9,285,263
10,150,10,622,573
11,150,11,443,407
12,150,12,430,398
13,150,13,493,456
14,150,14,295,272
15,150,15,391,359
16,150,16,299,275
17,150,17,409,377
18,150,18,284,261
19,150,19,432,396
20,150,20,325,300
21,150,21,281,260
22,150,22,436,404
23,150,23,275,256
24,150,24,416,383
25,150,25,471,432
26,150,26,355,328
27,150,27,449,413
28,150,28,299,275
29,150,29,410,376
30,150,30,442,407
31,150,31,308,284
32,150,32,525,482
33,150,33,300,276
34,150,34,403,370
35,150,35,423,389
36,150,36,419,387
37,150,37,302,278
38,150,38,380,351
39,150,39,380,348
40,150,40,298,275
41,150,41,290,269
42,150,42,274,253
43,150,43,297,273
44,150,44,309,283
45,150,45,282,258
46,150,46,443,407
47,150,47,572,528
48,150,48,266,243
49,150,49,286,264
50,150,50,310,285
51,150,51,293,270
52,150,52,337,310
53,150,53,368,338
54,150,54,265,244
55,150,55,312,287
56,150,56,296,272
57,150,57,271,249
58,150,58,366,337
59,150,59,398,367
60,150,60,416,383
61,150,61,411,378
62,150,62,361,332
63,150,63,486,449
64,150,64,423,389
65,150,65,426,393
66,150,66,353,324
67,150,67,332,305
68,150,68,296,272
69,150,69,372,343
70,150,70,277,255
71,150,71,288,265
72,150,72,436,401
73,150,73,478,439
74,150,74,438,404
75,150,75,402,368
76,150,76,425,394
77,150,77,290,267
78,150,78,450,414
79,150,79,395,364
80,150,80,424,389
81,150,81,447,411
82,150,82,381,350
83,150,83,393,361
84,150,84,287,265
85,150,85,389,356
86,150,86,399,365
87,150,87,279,256
88,150,88,307,283
89,150,89,447,411
90,150,90,396,365
91,150,91,405,371
92,150,92,310,285
93,150,93,294,272
94,150,94,568,521
95,150,95,292,269
96,150,96,426,390
97,150,97,299,276
98,150,98,298,274
99,150,99,287,264
