,num_chunks,times,send_drop_used,recv_drop_used
0,0.01,0,115,115
1,0.01,1,135,134
2,0.01,2,115,115
3,0.01,3,139,136
4,0.01,4,139,136
5,0.01,5,137,135
6,0.01,6,115,115
7,0.01,7,115,115
8,0.01,8,137,135
9,0.01,9,137,135
10,0.01,10,141,137
11,0.01,11,115,115
12,0.01,12,115,115
13,0.01,13,135,134
14,0.01,14,138,135
15,0.01,15,135,134
16,0.01,16,135,134
17,0.01,17,122,121
18,0.01,18,135,134
19,0.01,19,138,135
20,0.01,20,115,115
21,0.01,21,135,134
22,0.01,22,135,134
23,0.01,23,128,127
24,0.01,24,135,134
25,0.01,25,115,115
26,0.01,26,127,126
27,0.01,27,136,134
28,0.01,28,115,115
29,0.01,29,137,135
30,0.01,30,137,135
31,0.01,31,115,115
32,0.01,32,118,117
33,0.01,33,137,135
34,0.01,34,127,126
35,0.01,35,115,115
36,0.01,36,136,134
37,0.01,37,115,115
38,0.01,38,115,115
39,0.01,39,135,134
40,0.01,40,115,115
41,0.01,41,115,115
42,0.01,42,115,115
43,0.01,43,137,135
44,0.01,44,135,134
45,0.01,45,139,136
46,0.01,46,137,135
47,0.01,47,115,115
48,0.01,48,139,136
49,0.01,49,115,115
50,0.01,50,135,134
51,0.01,51,115,115
52,0.01,52,115,115
53,0.01,53,135,134
54,0.01,54,141,137
55,0.01,55,115,115
56,0.01,56,136,134
57,0.01,57,138,135
58,0.01,58,137,135
59,0.01,59,139,135
60,0.01,60,115,115
61,0.01,61,137,135
62,0.01,62,135,134
63,0.01,63,136,134
64,0.01,64,136,134
65,0.01,65,138,135
66,0.01,66,115,115
67,0.01,67,115,115
68,0.01,68,135,134
69,0.01,69,115,115
70,0.01,70,137,135
71,0.01,71,115,115
72,0.01,72,135,134
73,0.01,73,135,134
74,0.01,74,115,115
75,0.01,75,115,115
76,0.01,76,137,135
77,0.01,77,115,115
78,0.01,78,137,135
79,0.01,79,137,135
80,0.01,80,139,136
81,0.01,81,115,115
82,0.01,82,138,135
83,0.01,83,141,137
84,0.01,84,139,136
85,0.01,85,115,115
86,0.01,86,136,134
87,0.01,87,136,134
88,0.01,88,139,136
89,0.01,89,135,134
90,0.01,90,137,135
91,0.01,91,135,134
92,0.01,92,139,136
93,0.01,93,135,134
94,0.01,94,135,134
95,0.01,95,135,134
96,0.01,96,135,134
97,0.01,97,123,122
98,0.01,98,115,115
99,0.01,99,137,135
100,0.01,100,122,121
101,0.01,101,137,135
102,0.01,102,115,115
103,0.01,103,115,115
104,0.01,104,136,133
105,0.01,105,138,135
106,0.01,106,117,116
107,0.01,107,115,115
108,0.01,108,115,115
109,0.01,109,115,115
110,0.01,110,135,134
111,0.01,111,141,137
112,0.01,112,135,134
113,0.01,113,137,135
114,0.01,114,115,115
115,0.01,115,115,115
116,0.01,116,137,135
117,0.01,117,136,134
118,0.01,118,135,134
119,0.01,119,140,136
120,0.01,120,137,135
121,0.01,121,138,135
122,0.01,122,115,115
123,0.01,123,135,134
124,0.01,124,115,115
125,0.01,125,115,115
126,0.01,126,135,134
127,0.01,127,138,135
128,0.01,128,138,135
129,0.01,129,115,115
130,0.01,130,135,134
131,0.01,131,135,134
132,0.01,132,135,134
133,0.01,133,135,134
134,0.01,134,135,134
135,0.01,135,115,115
136,0.01,136,135,134
137,0.01,137,136,134
138,0.01,138,141,137
139,0.01,139,115,115
140,0.01,140,139,136
141,0.01,141,135,134
142,0.01,142,137,135
143,0.01,143,137,135
144,0.01,144,139,136
145,0.01,145,115,115
146,0.01,146,135,134
147,0.01,147,135,134
148,0.01,148,135,134
149,0.01,149,139,136
150,0.01,150,137,135
151,0.01,151,115,115
152,0.01,152,138,135
153,0.01,153,135,134
154,0.01,154,142,137
155,0.01,155,115,115
156,0.01,156,115,115
157,0.01,157,137,135
158,0.01,158,135,134
159,0.01,159,137,135
160,0.01,160,115,115
161,0.01,161,115,115
162,0.01,162,115,115
163,0.01,163,135,134
164,0.01,164,140,136
165,0.01,165,137,135
166,0.01,166,135,134
167,0.01,167,137,135
168,0.01,168,137,135
169,0.01,169,135,134
170,0.01,170,135,134
171,0.01,171,115,115
172,0.01,172,137,135
173,0.01,173,115,115
174,0.01,174,137,135
175,0.01,175,135,134
176,0.01,176,137,135
177,0.01,177,115,115
178,0.01,178,115,115
179,0.01,179,135,134
180,0.01,180,135,134
181,0.01,181,135,134
182,0.01,182,121,120
183,0.01,183,129,128
184,0.01,184,137,135
185,0.01,185,135,134
