,per,avg_send_drops,avg_recv_drops
0,0.0,115.0,115.0
1,0.01,129.49,128.171
2,0.02,135.687,133.014
3,0.03,139.966,135.731
4,0.04,142.941,137.316
5,0.05,146.154,138.955
6,0.06,149.262,140.357
7,0.07,152.29,141.77
8,0.08,155.585,143.243
9,0.09,159.468,145.218
10,0.1,163.466,146.992
11,0.125,172.036,150.794
12,0.15,183.542,155.843
13,0.175,194.367,160.093
14,0.2,204.999,163.959
15,0.225,215.638,167.13
16,0.25,228.01,170.81
17,0.275,239.181,173.349
18,0.3,250.291,175.249
19,0.325,262.764,177.312
20,0.35,276.124,179.43
21,0.375,289.23,180.616
22,0.4,302.782,181.927
23,0.425,319.929,183.546
24,0.45,334.799,184.274
25,0.475,352.51,185.702
26,0.5,376.992,187.949
