,num_chunks,times,send_drop_used,recv_drop_used
0,200,0,237,226
1,200,1,230,224
2,200,2,242,230
3,200,3,233,224
4,200,4,241,232
5,200,5,246,234
6,200,6,236,226
7,200,7,245,234
8,200,8,233,225
9,200,9,224,221
10,200,10,229,223
11,200,11,246,234
12,200,12,231,224
13,200,13,254,240
14,200,14,237,227
15,200,15,239,228
16,200,16,264,247
17,200,17,233,225
18,200,18,233,225
19,200,19,237,225
20,200,20,233,224
21,200,21,231,223
22,200,22,232,225
23,200,23,248,232
24,200,24,243,230
25,200,25,238,227
26,200,26,229,223
27,200,27,239,228
28,200,28,240,228
29,200,29,238,228
30,200,30,239,228
31,200,31,240,228
32,200,32,235,225
33,200,33,233,225
34,200,34,238,228
35,200,35,226,222
36,200,36,249,235
37,200,37,245,232
38,200,38,232,225
39,200,39,235,225
40,200,40,235,226
41,200,41,235,227
42,200,42,230,224
43,200,43,235,226
44,200,44,234,227
45,200,45,234,225
46,200,46,237,227
47,200,47,229,223
48,200,48,234,225
49,200,49,232,225
50,200,50,233,225
51,200,51,252,235
52,200,52,235,226
53,200,53,230,224
54,200,54,230,224
55,200,55,230,223
56,200,56,240,228
57,200,57,236,228
58,200,58,232,225
59,200,59,231,224
60,200,60,226,222
61,200,61,233,225
62,200,62,233,225
63,200,63,225,221
64,200,64,249,235
65,200,65,242,229
66,200,66,243,229
67,200,67,234,225
68,200,68,240,231
69,200,69,229,223
70,200,70,228,223
71,200,71,236,227
72,200,72,231,224
73,200,73,232,225
74,200,74,240,228
75,200,75,230,224
76,200,76,236,227
77,200,77,238,228
78,200,78,243,228
79,200,79,234,226
80,200,80,226,222
81,200,81,229,223
82,200,82,248,234
83,200,83,232,225
84,200,84,229,223
85,200,85,227,222
86,200,86,232,224
87,200,87,234,224
88,200,88,232,224
89,200,89,238,228
90,200,90,236,226
91,200,91,247,232
92,200,92,227,222
93,200,93,224,221
94,200,94,228,222
95,200,95,239,228
96,200,96,234,225
97,200,97,223,220
98,200,98,234,225
99,200,99,238,227
100,200,100,239,228
101,200,101,227,222
102,200,102,233,225
103,200,103,235,225
104,200,104,229,223
105,200,105,236,227
106,200,106,243,232
107,200,107,240,228
108,200,108,238,228
109,200,109,236,227
110,200,110,230,224
111,200,111,236,227
112,200,112,233,225
113,200,113,226,221
114,200,114,227,222
115,200,115,254,238
116,200,116,233,225
117,200,117,238,229
118,200,118,251,234
119,200,119,222,220
120,200,120,235,225
121,200,121,227,221
122,200,122,233,225
123,200,123,239,228
124,200,124,233,225
125,200,125,234,225
126,200,126,237,226
127,200,127,235,226
128,200,128,242,232
129,200,129,228,223
130,200,130,236,227
131,200,131,227,222
132,200,132,230,224
133,200,133,230,223
134,200,134,233,225
135,200,135,247,233
136,200,136,234,225
137,200,137,237,228
138,200,138,239,228
139,200,139,233,225
140,200,140,235,226
141,200,141,241,229
142,200,142,242,229
143,200,143,256,242
144,200,144,227,222
145,200,145,241,228
146,200,146,238,226
147,200,147,240,230
148,200,148,244,233
149,200,149,231,224
150,200,150,237,227
151,200,151,228,223
152,200,152,237,227
153,200,153,228,222
154,200,154,244,231
155,200,155,243,231
156,200,156,238,230
157,200,157,226,221
158,200,158,249,235
159,200,159,234,225
160,200,160,243,231
161,200,161,237,228
162,200,162,241,229
163,200,163,222,220
164,200,164,229,222
165,200,165,244,230
166,200,166,243,229
167,200,167,234,226
168,200,168,234,226
169,200,169,230,224
170,200,170,230,223
171,200,171,227,222
172,200,172,223,220
173,200,173,236,227
174,200,174,229,223
175,200,175,235,226
176,200,176,249,236
177,200,177,234,224
178,200,178,235,225
179,200,179,233,225
180,200,180,244,230
181,200,181,244,231
182,200,182,233,224
183,200,183,235,226
184,200,184,245,231
185,200,185,234,225
