,num_chunks,times,drop_num_used
0,800,0,905
1,800,1,945
2,800,2,940
3,800,3,934
4,800,4,933
5,800,5,969
6,800,6,895
7,800,7,948
8,800,8,1012
9,800,9,985
10,800,10,941
11,800,11,909
12,800,12,911
13,800,13,987
14,800,14,997
15,800,15,948
16,800,16,1012
17,800,17,913
18,800,18,940
19,800,19,906
20,800,20,931
21,800,21,912
22,800,22,966
23,800,23,886
24,800,24,898
25,800,25,947
26,800,26,885
27,800,27,950
28,800,28,877
29,800,29,921
30,800,30,991
31,800,31,929
32,800,32,920
33,800,33,932
34,800,34,975
35,800,35,937
36,800,36,912
37,800,37,912
38,800,38,933
39,800,39,925
40,800,40,924
41,800,41,946
42,800,42,982
43,800,43,941
44,800,44,959
45,800,45,936
46,800,46,970
47,800,47,965
48,800,48,934
49,800,49,923
50,800,50,932
51,800,51,956
52,800,52,952
53,800,53,916
54,800,54,905
55,800,55,1019
56,800,56,924
57,800,57,909
58,800,58,925
59,800,59,900
60,800,60,918
61,800,61,950
62,800,62,950
63,800,63,947
64,800,64,911
65,800,65,941
66,800,66,955
67,800,67,947
68,800,68,970
69,800,69,944
70,800,70,897
71,800,71,915
72,800,72,936
73,800,73,917
74,800,74,964
75,800,75,983
76,800,76,955
77,800,77,903
78,800,78,930
79,800,79,930
80,800,80,923
81,800,81,886
82,800,82,916
83,800,83,989
84,800,84,950
85,800,85,893
86,800,86,1058
87,800,87,941
88,800,88,950
89,800,89,928
90,800,90,927
91,800,91,918
92,800,92,896
93,800,93,935
94,800,94,908
95,800,95,994
96,800,96,1005
97,800,97,930
98,800,98,941
99,800,99,922
