,num_chunks,times,drop_num_used
0,750,0,810
1,750,1,936
2,750,2,849
3,750,3,851
4,750,4,986
5,750,5,846
6,750,6,923
7,750,7,849
8,750,8,815
9,750,9,869
10,750,10,849
11,750,11,824
12,750,12,876
13,750,13,832
14,750,14,873
15,750,15,833
16,750,16,842
17,750,17,846
18,750,18,891
19,750,19,829
20,750,20,917
21,750,21,839
22,750,22,869
23,750,23,813
24,750,24,862
25,750,25,837
26,750,26,842
27,750,27,828
28,750,28,831
29,750,29,905
30,750,30,841
31,750,31,849
32,750,32,928
33,750,33,838
34,750,34,839
35,750,35,831
36,750,36,965
37,750,37,872
38,750,38,906
39,750,39,859
40,750,40,823
41,750,41,835
42,750,42,833
43,750,43,813
44,750,44,822
45,750,45,848
46,750,46,829
47,750,47,831
48,750,48,850
49,750,49,855
50,750,50,820
51,750,51,807
52,750,52,840
53,750,53,840
54,750,54,824
55,750,55,860
56,750,56,830
57,750,57,1013
58,750,58,829
59,750,59,829
60,750,60,841
61,750,61,869
62,750,62,884
63,750,63,852
64,750,64,835
65,750,65,841
66,750,66,859
67,750,67,875
68,750,68,852
69,750,69,825
70,750,70,823
71,750,71,823
72,750,72,821
73,750,73,836
74,750,74,839
75,750,75,841
76,750,76,827
77,750,77,865
78,750,78,823
79,750,79,833
80,750,80,879
81,750,81,834
82,750,82,832
83,750,83,832
84,750,84,913
85,750,85,873
86,750,86,833
87,750,87,830
88,750,88,845
89,750,89,857
90,750,90,852
91,750,91,892
92,750,92,824
93,750,93,840
94,750,94,932
95,750,95,873
96,750,96,859
97,750,97,819
98,750,98,828
99,750,99,865
